Grade,Range Min,Range Mid,Range Max,Range Spread,Mid Point Differential,Range Overlap
10,191152.50210210212,238940.62762762763,286728.7531531532,49.99999999999999,17.871159684022597,
9,162170.71471471473,202713.3933933934,243256.07207207207,49.999999999999986,38.53233098494995,64.2576806319548
8,117063.44184184185,146329.3023023023,175595.16276276275,49.99999999999998,4.235043288536322,22.935338030100073
7,112307.183983984,140383.97997997998,168460.77597597596,49.99999999999997,40.62936484847774,91.52991342292735
6,79860.40760760762,99825.50950950952,119790.61141141142,49.999999999999986,68.43343471867173,18.741270303044484
5,47413.63123123124,59267.03903903904,71120.44684684684,49.999999999999964,37.73362733121366,-36.866869437343546
4,34424.15055055055,43030.188188188185,51636.22582582582,50.0,9.856061411834949,24.532745337572628
3,31335.686086086087,39169.607607607606,47003.52912912913,49.99999999999999,10.933692898491731,80.28787717633011
2,28247.221621621622,35309.02702702703,42370.83243243243,49.999999999999986,9.849910450773148,78.13261420301653
1,25714.37837837838,32142.972972972973,38571.56756756757,49.999999999999986,,80.30017909845371
