Grade,Range Min,Range Mid,Range Max,Range Spread,Mid Point Differential,Range Overlap
10.0,241503.2,301879.0,362254.8,49.99999999999998,44.43524483299608,
9.0,167205.17231042826,209006.4653880353,250807.75846564237,50.0,44.43524483299608,3.852768189258926
8.0,115764.8,144706.0,173647.19999999998,49.99999999999998,1.6351340407884996,3.852768189258904
7.0,113902.344,142377.93,170853.51599999997,49.99999999999998,21.60144262773953,47.586758669301865
6.0,93668.57953214512,117085.72441518138,140502.86929821764,49.99999999999998,21.60144262773953,23.353799723575186
5.0,77029.168,96286.46,115543.75200000001,50.0,31.884807144422545,23.353799723575165
4.0,58406.4,73008.0,87609.59999999999,49.99999999999998,20.323810280361656,13.735617655898857
3.0,48541.016,60676.270000000004,72811.524,50.0,33.76897638836836,24.663605358316907
2.0,36287.200000000004,45359.0,54430.799999999996,49.99999999999998,80.89332003988036,12.13362324348546
1.0,20060.0,25075.0,30090.0,50.0,,-17.07819837298001
